symbol,funding_time,year,rate,z,side,r1,r4,r12
BTCUSDT,1670947200011,2022,0.0001,2.659295284841646,SHORT,0.006328455567817778,0.00036054916534747583,-0.0010246017897995287
BTCUSDT,1672041600000,2022,-5.064e-05,-3.133342685273305,LONG,-0.00038625526010213385,0.001092591271765835,0.00016040064551094236
BTCUSDT,1672646400008,2023,-4.356e-05,-2.4055530512698833,LONG,-0.0008733468280160765,-0.0006818630676472644,-0.0001076316844799352
BTCUSDT,1673683200001,2023,0.00045847,12.007499884776337,SHORT,0.022802526042086775,0.00454490959292003,0.005783672996890235
BTCUSDT,1674806400000,2023,9.541e-05,-1.1289407373110167e+14,SHORT,0.0007450574932098254,0.001451413857548799,-0.006291199423348127
BTCUSDT,1676073600007,2023,7.684e-05,-5.6963545699615e+14,SHORT,0.0010396908665149507,-0.001292329742362004,-0.0022973456859214096
BTCUSDT,1676217600002,2023,2.27e-05,-5.059724462408558,SHORT,0.0006049675753598012,0.0016520165864113377,0.007453371276106604
BTCUSDT,1676419200011,2023,2.377e-05,-2.7555509304934267,SHORT,0.0016456592679014036,0.0028363808363660197,-0.027912352237868143
BTCUSDT,1676563200001,2023,0.00023171,5.413261186991979,SHORT,0.00036143272323392286,0.013090519928506352,0.045197406413305906
BTCUSDT,1677283200015,2023,1.183e-05,-2.1109088537665683,SHORT,-0.0005525577520257498,0.0017633182603482675,0.006558991408066363
BTCUSDT,1677830400013,2023,-4.203e-05,-2.970734846636382,LONG,-0.002751389712670838,-0.003480704390575479,-0.005568677799388262
BTCUSDT,1678406400000,2023,-8.895e-05,-3.5506345797587833,LONG,-0.0004178148345252394,-0.012162903697807112,-0.009398138097769381
BTCUSDT,1678752000010,2023,0.00015042,2.4985024217349303,SHORT,-0.00966250758204207,-0.010096709599301291,-0.06786423589846469
BTCUSDT,1678867200000,2023,0.00024127,2.706830329237582,SHORT,0.00975316673778685,-0.0025443203035508417,0.018034948611577367
BTCUSDT,1679817600015,2023,-3.326e-05,-2.1017250289834255,LONG,0.0011750096708437548,0.009404649909918605,0.004266815607650097
BTCUSDT,1680566400002,2023,-6.009e-05,-2.449190118439692,LONG,0.0018146015557205387,0.0017318640225107242,0.01797828517895728
BTCUSDT,1681516800007,2023,-4.975e-05,-2.212023356660764,LONG,-0.00017787498729296156,-0.0004282711746720661,0.0015205274090223425
BTCUSDT,1682928000008,2023,-6.37e-05,-3.869503311263862,LONG,-0.0017416265302835417,0.0007000007285841765,-0.03193507141441072
BTCUSDT,1684137600005,2023,-1.576e-05,-2.1768917442749856,LONG,-0.0016131390359427338,-0.0015072197937872624,-0.0030532925113092254
BTCUSDT,1684281600010,2023,8.392e-05,2.0841113296843354,SHORT,-0.0026803094529116753,0.0010453123498989168,0.015911862268976174
BTCUSDT,1684368000000,2023,0.0001,2.489397287381992,SHORT,0.0012989271957386133,0.0020424529704504996,0.004522423718786177
BTCUSDT,1686009600000,2023,-7.157e-05,-5.843108184221756,LONG,-0.001933392145223569,0.004111601814390811,-0.006046468280388752
BTCUSDT,1686787200000,2023,-3.265e-05,-2.226953078137271,LONG,-0.005564503523655529,-0.007074402032185545,-0.009932667722996995
BTCUSDT,1687276800000,2023,-2.597e-05,-2.405533170883075,LONG,0.015261270462273711,0.02825239026363599,0.05032181048752066
