strategy,symbol,entry_time,month,side,norm_return
ID121,AVAXUSDT,1742893260000,2025-03,LONG,0.047722226961
ID121,AVAXUSDT,1745380080000,2025-04,LONG,-0.020050418153
ID121,AVAXUSDT,1746856860000,2025-05,LONG,0.066783922862
ID121,AVAXUSDT,1747969260000,2025-05,LONG,-0.026046138869
ID121,AVAXUSDT,1747994460000,2025-05,LONG,-0.028574340506
ID121,AVAXUSDT,1750600860000,2025-06,SHORT,-0.026461121432
ID121,AVAXUSDT,1752152460000,2025-07,LONG,0.048415023117
ID121,AVAXUSDT,1752199620000,2025-07,LONG,-0.017391675527
ID121,AVAXUSDT,1752818460000,2025-07,LONG,-0.026293974997
ID121,AVAXUSDT,1753679040000,2025-07,LONG,-0.018306161260
ID121,AVAXUSDT,1757523660000,2025-09,LONG,-0.016963934721
ID121,AVAXUSDT,1758200460000,2025-09,LONG,0.048951020772
ID121,AVAXUSDT,1761012060000,2025-10,SHORT,-0.021364648939
ID121,AVAXUSDT,1761170460000,2025-10,SHORT,-0.028315077615
ID121,AVAXUSDT,1762279260000,2025-11,SHORT,-0.029164084464
ID121,AVAXUSDT,1765990860000,2025-12,SHORT,-0.021458629164
ID121,AVAXUSDT,1767412860000,2026-01,LONG,-0.026513264657
ID121,AVAXUSDT,1767535320000,2026-01,LONG,-0.016589926712
ID121,AVAXUSDT,1768892460000,2026-01,SHORT,0.018830418395
ID121,AVAXUSDT,1770289260000,2026-02,SHORT,0.034993676777
ID121,AVAXUSDT,1773406860000,2026-03,LONG,-0.027776819809
ID121,AVAXUSDT,1773640860000,2026-03,LONG,-0.025987164911
ID121,AVAXUSDT,1780520460000,2026-06,SHORT,-0.027505690629
ID121,AVAXUSDT,1780668120000,2026-06,SHORT,0.065267412483
ID121,AVAXUSDT,1787216460000,2026-08,LONG,0.038751402201
ID121,AVAXUSDT,1787292060000,2026-08,LONG,0.055535650884
ID121,AVAXUSDT,1787367660000,2026-08,LONG,-0.098652112886
V54,AVAXUSDT,1724374860000,2024-08,LONG,0.052895986298
V54,AVAXUSDT,1726801260000,2024-09,LONG,0.037994068965
V54,AVAXUSDT,1726822860000,2024-09,LONG,-0.027140606761
V54,AVAXUSDT,1727420460000,2024-09,LONG,-0.017256879164
V54,AVAXUSDT,1731247260000,2024-11,LONG,-0.026585098582
V54,AVAXUSDT,1736179260000,2025-01,LONG,-0.027617570091
V54,AVAXUSDT,1738098180000,2025-01,SHORT,-0.022718997839
V54,AVAXUSDT,1741399260000,2025-03,SHORT,-0.025030749739
V54,AVAXUSDT,1742893260000,2025-03,LONG,0.047722226961
V54,AVAXUSDT,1745380080000,2025-04,LONG,-0.020050418153
V54,AVAXUSDT,1746856860000,2025-05,LONG,0.066783922862
V54,AVAXUSDT,1747969260000,2025-05,LONG,-0.026046138869
V54,AVAXUSDT,1747994460000,2025-05,LONG,-0.028574340506
V54,AVAXUSDT,1750600860000,2025-06,SHORT,-0.026461121432
V54,AVAXUSDT,1752152460000,2025-07,LONG,0.048415023117
V54,AVAXUSDT,1752199620000,2025-07,LONG,-0.017391675527
V54,AVAXUSDT,1752818460000,2025-07,LONG,-0.026293974997
V54,AVAXUSDT,1753679040000,2025-07,LONG,-0.018306161260
V54,AVAXUSDT,1755140460000,2025-08,LONG,-0.027964656321
V54,AVAXUSDT,1757523660000,2025-09,LONG,-0.016963934721
V54,AVAXUSDT,1758200460000,2025-09,LONG,0.048951020772
V54,AVAXUSDT,1761012060000,2025-10,SHORT,-0.021364648939
V54,AVAXUSDT,1761170460000,2025-10,SHORT,-0.028315077615
V54,AVAXUSDT,1762279260000,2025-11,SHORT,-0.029164084464
V54,AVAXUSDT,1765990860000,2025-12,SHORT,-0.021458629164
V54,AVAXUSDT,1767412860000,2026-01,LONG,-0.026513264657
V54,AVAXUSDT,1767535320000,2026-01,LONG,-0.016589926712
V54,AVAXUSDT,1768892460000,2026-01,SHORT,0.018830418395
V54,AVAXUSDT,1770289260000,2026-02,SHORT,0.034993676777
V54,AVAXUSDT,1773406860000,2026-03,LONG,-0.027776819809
V54,AVAXUSDT,1773640860000,2026-03,LONG,-0.025987164911
V54,AVAXUSDT,1780520460000,2026-06,SHORT,-0.027505690629
V54,AVAXUSDT,1780668120000,2026-06,SHORT,0.065267412483
V54,AVAXUSDT,1787216460000,2026-08,LONG,0.038751402201
V54,AVAXUSDT,1787292060000,2026-08,LONG,0.055535650884
V54,AVAXUSDT,1787367660000,2026-08,LONG,-0.098652112886
ID121,BNBUSDT,1725152460000,2024-09,SHORT,0.033573201333
ID121,BNBUSDT,1725260460000,2024-09,SHORT,-0.026608879877
ID121,BNBUSDT,1725447660000,2024-09,SHORT,-0.029311375725
ID121,BNBUSDT,1725555660000,2024-09,SHORT,-0.017969487899
ID121,BNBUSDT,1725638460000,2024-09,SHORT,-0.016803711516
ID121,BNBUSDT,1726963260000,2024-09,LONG,-0.016395565756
ID121,BNBUSDT,1738468860000,2025-02,SHORT,0.037088582060
ID121,BNBUSDT,1738656060000,2025-02,SHORT,-0.027239446099
ID121,BNBUSDT,1738706460000,2025-02,SHORT,-0.027413180810
ID121,BNBUSDT,1739412060000,2025-02,LONG,-0.026168105839
ID121,BNBUSDT,1740668460000,2025-02,SHORT,0.037846559465
ID121,BNBUSDT,1741618860000,2025-03,SHORT,0.039723587259
ID121,BNBUSDT,1745366460000,2025-04,LONG,-0.016458101842
ID121,BNBUSDT,1746774060000,2025-05,LONG,0.049172452313
ID121,BNBUSDT,1746921720000,2025-05,LONG,-0.017665424530
ID121,BNBUSDT,1747864860000,2025-05,LONG,-0.017538605193
ID121,BNBUSDT,1752170460000,2025-07,LONG,0.018870685174
ID121,BNBUSDT,1752699660000,2025-07,LONG,0.044236900633
ID121,BNBUSDT,1754661660000,2025-08,LONG,0.048638956589
ID121,BNBUSDT,1757235660000,2025-09,LONG,0.021316048269
ID121,BNBUSDT,1758419100000,2025-09,LONG,-0.019464886698
ID121,BNBUSDT,1759402860000,2025-10,LONG,0.042179752276
ID121,BNBUSDT,1759447860000,2025-10,LONG,0.034765310706
ID121,BNBUSDT,1759507260000,2025-10,LONG,-0.028753266093
ID121,BNBUSDT,1759518060000,2025-10,LONG,-0.023288179242
ID121,BNBUSDT,1763409660000,2025-11,SHORT,-0.026088694958
ID121,BNBUSDT,1763683260000,2025-11,SHORT,0.057120719445
ID121,BNBUSDT,1766037660000,2025-12,SHORT,-0.020852472269
ID121,BNBUSDT,1767614460000,2026-01,LONG,-0.017997645989
ID121,BNBUSDT,1769943660000,2026-02,SHORT,-0.017029885883
ID121,BNBUSDT,1770206460000,2026-02,SHORT,0.041144359976
ID121,BNBUSDT,1770229980000,2026-02,SHORT,0.043196750427
ID121,BNBUSDT,1770307260000,2026-02,SHORT,0.067020613155
ID121,BNBUSDT,1771916460000,2026-02,SHORT,-0.016856624258
ID121,BNBUSDT,1772989260000,2026-03,SHORT,-0.017258012346
ID121,BNBUSDT,1773633660000,2026-03,LONG,-0.018338320915
ID121,BNBUSDT,1778068860000,2026-05,LONG,-0.018298075936
ID121,BNBUSDT,1778140860000,2026-05,LONG,-0.016955466219
ID121,BNBUSDT,1778666460000,2026-05,LONG,-0.024412516029
ID121,BNBUSDT,1780196460000,2026-05,LONG,-0.029727260749
ID121,BNBUSDT,1787216460000,2026-08,LONG,0.043712330668
V54,BNBUSDT,1725152460000,2024-09,SHORT,0.033573201333
V54,BNBUSDT,1725260460000,2024-09,SHORT,-0.026608879877
V54,BNBUSDT,1725447660000,2024-09,SHORT,-0.029311375725
V54,BNBUSDT,1725555660000,2024-09,SHORT,-0.017969487899
