symbol,time,oi4,price4,fwd1h,fwd4h,fwd12h
BTCUSDT,2025-01-01T04:10:00+00:00,-0.001154884403582572,0.0005668028946802388,0.000697234204671717,-0.00030148623758132994,-0.005983234258861042
BTCUSDT,2025-01-01T10:00:00+00:00,-0.00048641427850099186,-0.0024749616912130437,-0.002976786174928924,0.009359196802197326,0.014538288680999172
BTCUSDT,2025-01-01T10:30:00+00:00,-0.00029725050937802645,-0.0022343518291523365,0.0004664794725831321,0.0041101787728785154,0.014923722685615759
BTCUSDT,2025-01-01T12:20:00+00:00,-0.0002829591169022053,0.0011384993087260216,0.0015040654760692823,-0.00440097286789334,-0.011498451040836579
BTCUSDT,2025-01-01T15:05:00+00:00,-0.0005688174973283364,0.007931603048850374,-0.0034212592691700316,-0.002247375603176761,-0.009534265150064319
BTCUSDT,2025-01-01T16:50:00+00:00,-1.7332583902759283e-05,0.0029910578233080694,-0.0009325046965294245,-0.008552953358217461,-0.01854422257186102
BTCUSDT,2025-01-01T19:20:00+00:00,-0.00012360062170223903,0.00018699464650732912,-0.0040421702998090555,-0.0044476004812762085,-0.017034856698391956
BTCUSDT,2025-01-01T19:45:00+00:00,-0.001333281165516323,0.004403009517686778,-0.0010507823060225926,0.0011860392776975159,-0.011102367778536617
BTCUSDT,2025-01-02T04:55:00+00:00,-0.00044342401548309803,0.006429279091849678,0.001215683299162756,-0.004549986880853766,-0.01556599721678209
BTCUSDT,2025-01-02T14:30:00+00:00,-0.010979191017985994,-0.00011348490329595592,-0.0038848277942841033,-0.0007920131229153539,0.004219956424348249
BTCUSDT,2025-01-02T20:25:00+00:00,-0.0014267515822680315,0.001979527254029303,0.004737207479715224,0.005681497969725743,0.01297223759822215
BTCUSDT,2025-01-02T21:10:00+00:00,-0.0018780965453413449,-0.0034959517855660486,-0.00221424477902113,-0.005069828783198781,-0.009130720335048997
BTCUSDT,2025-01-02T22:10:00+00:00,-0.00023624486710917942,0.0015849993238923447,0.0014332408026718295,-0.0010078834533970636,0.00599275507664472
BTCUSDT,2025-01-02T22:25:00+00:00,-8.777476951955257e-05,-0.0001318810589447209,0.0009137857739112619,0.0036653234536000914,-0.003794862929591294
BTCUSDT,2025-01-03T03:40:00+00:00,-5.990033204909697e-07,-0.0007262284307497326,-0.0004748093110536706,-0.005701462192360394,0.005063168605980553
BTCUSDT,2025-01-03T09:20:00+00:00,-0.0004381581637619877,-0.0010715233889855345,-0.0008220850009517244,0.001234449154444335,0.0173305126860354
