symbol,time,family,oi4,price4,fwd1h,fwd4h,fwd12h
BTCUSDT,2026-01-05T11:05:00+00:00,oi_expansion_continuation,0.0023065066629583825,0.00550567435918933,0.0006367610421903475,0.0035063728345900128,0.011033193378234572
BTCUSDT,2026-01-05T11:40:00+00:00,oi_contraction_reversal,-0.0004296055408145861,0.00503754918053087,0.0021966133639468167,-0.008886408728998386,-0.00952859128834325
BTCUSDT,2026-01-05T12:05:00+00:00,oi_expansion_continuation,0.0008008144712575029,0.004736631827805888,-0.0016628594682262714,0.008044333603823901,0.007693373653325798
BTCUSDT,2026-01-05T20:15:00+00:00,oi_contraction_reversal,-0.0003912329045984955,0.004296818108988306,0.003214650458277278,0.0066446113016542935,0.010651478331520869
BTCUSDT,2026-01-05T20:20:00+00:00,oi_expansion_continuation,0.000884670739591837,0.006771468443094029,-0.004829594338991649,-0.00805968459155353,-0.012237186640468165
BTCUSDT,2026-01-05T20:25:00+00:00,oi_contraction_reversal,-0.002232333404251589,0.009593998094507561,0.009671842213015326,0.009958076902550255,0.014893550036281589
BTCUSDT,2026-01-06T11:40:00+00:00,oi_expansion_continuation,0.00031401363308378985,0.005637284725663865,0.0003291471631970489,-0.0033969030416982136,-0.002721808906763035
BTCUSDT,2026-01-06T14:10:00+00:00,oi_contraction_reversal,-0.00011697883756528253,0.005466539139296165,0.0037527193740249255,0.024470240489259363,0.015261814854731418
BTCUSDT,2026-01-06T14:15:00+00:00,oi_expansion_continuation,0.001501874624091303,0.006152435605375094,-0.0009671602916957244,-0.02514565922532399,-0.01746195387392542
BTCUSDT,2026-01-06T15:25:00+00:00,oi_contraction_reversal,-9.439935972881011e-05,0.003260268547757844,0.013885010158254026,0.020249391838776745,0.012106161214454375
BTCUSDT,2026-01-06T15:30:00+00:00,oi_expansion_continuation,0.0005587788300616347,0.002515930932232774,-0.01306999392100078,-0.01941594131046144,-0.012507696588929999
BTCUSDT,2026-01-06T16:05:00+00:00,oi_contraction_reversal,-1.1043258815511035e-06,-0.005019937027427437,-0.008540116458129287,-0.011511462690877678,-0.006917608119102678
BTCUSDT,2026-01-07T00:50:00+00:00,oi_expansion_continuation,0.0011827577522913147,0.005099612462458195,-0.00577514205148801,-0.003703959332890427,-0.010753640478482792
BTCUSDT,2026-01-07T11:20:00+00:00,oi_contraction_reversal,-0.000464845774624149,-0.006783614491687102,-0.001264668595677053,-0.00942865629149743,-0.0077994885801936685
BTCUSDT,2026-04-06T13:00:00+00:00,oi_contraction_reversal,-0.000419822527866045,0.0028412601439419516,0.003298043314174349,-0.0019609196604786715,0.010115550396902115
BTCUSDT,2026-04-06T13:20:00+00:00,oi_expansion_continuation,0.0014435105289729402,-0.009123052047797597,-0.0012764786796516556,-0.0008125709136126141,0.009799809494346605
BTCUSDT,2026-04-06T13:35:00+00:00,oi_contraction_reversal,-0.0016038986442937758,-0.006979725523983649,0.00031906059479222223,0.003026935473699007,-0.010342758971272074
BTCUSDT,2026-04-06T16:50:00+00:00,oi_expansion_continuation,0.0006481426533026664,0.009126903851052193,-0.00700097772995047,-0.0024981295332917887,-0.01659556495353153
BTCUSDT,2026-04-06T21:10:00+00:00,oi_contraction_reversal,-0.0023012333785765015,0.005630631732972435,0.0024928567337476463,0.01643199575794619,0.00891967367195732
BTCUSDT,2026-04-07T04:20:00+00:00,oi_expansion_continuation,3.721593181604029e-05,-0.004976988085830934,-0.0023669501711659885,-0.003908108967471043,0.004103154837917014
BTCUSDT,2026-04-07T04:40:00+00:00,oi_contraction_reversal,-0.0019302241059990226,0.0008780366558879882,0.003013748953184105,-0.0012415522514138348,0.007653226949861451
BTCUSDT,2026-04-07T05:50:00+00:00,oi_expansion_continuation,0.001176318948492515,0.002931065523263611,-0.001134208457291799,0.00710789913983112,0.001373652811770115
BTCUSDT,2026-04-07T06:50:00+00:00,oi_contraction_reversal,-7.599211036292424e-05,-0.0007298185118866596,0.001126923305524149,-0.004661113360566278,-0.0028016664712981103
BTCUSDT,2026-04-07T08:55:00+00:00,oi_expansion_continuation,0.0002439921431104395,0.0013994044547496404,0.0029125801159699703,-0.00789081802743613,0.005450249078029331
BTCUSDT,2026-04-07T09:05:00+00:00,oi_contraction_reversal,-0.0003483404472793696,0.005444770046073569,0.0035204468668976465,0.008917532071589917,-0.009880867031852552
BTCUSDT,2026-04-07T09:30:00+00:00,oi_expansion_continuation,9.957399562653501e-05,0.006822328731719816,-0.0060534595141962045,-0.010546550518720487,0.0075508823019701035
BTCUSDT,2026-04-07T11:10:00+00:00,oi_contraction_reversal,-0.00038075545599063813,-0.003178983693217071,-0.0009710551650067931,-0.006714101206710255,0.04493932245404758
BTCUSDT,2026-04-07T11:20:00+00:00,oi_expansion_continuation,0.00027719207306418404,-0.004574472097358093,-0.0016510574548710762,0.0037748735636380514,-0.053108509700092024
BTCUSDT,2026-04-07T11:35:00+00:00,oi_contraction_reversal,-8.532806057842417e-05,-0.003051197488520869,-0.0004268569595096158,-0.004653324617066886,0.05159195818170391
