publish	symbol	pairs	entry_ts	exit_ts	trigger	entry	exit	gross_pct	fees_pct	funding_pct	net_pct	hold_h
2024-01-03 05:15:03	BNBUSDT	BNB/USDC	1704258960000	1704274620000	TP	314.98741499999994	329.57513	18.524822650454226	0.40926241132522706	0.0	18.115560239128996	4.35
2024-01-03 05:15:03	SOLUSDT	SOL/ETH	1704258960000	1704278640000	SL	108.79136849999999	107.08643000000001	-6.268653565103313	0.39686567321744837	-0.05345041394529383	-6.718969652266056	5.466666666666667
2024-01-12 06:10:19	SOLUSDT	SOL/USDC	1705039860000	1705043580000	SL	100.0810155	98.45774650000001	-6.487819860301052	0.3967560900698495	0.0	-6.884575950370901	1.0333333333333334
2024-01-31 03:10:25	BCHUSDT	BCH/FDUSD	1706670660000	1706697960000	SL	237.02845499999998	233.20334	-6.455115272974264	0.39677244236351294	-0.01478660863734694	-6.866674323975125	7.583333333333333
2024-01-31 03:10:25	DYDXUSDT	DYDX/FDUSD	1706670660000	1706683320000	SL	2.747373	2.7036475	-6.366154140700933	0.3968169229296495	0.0	-6.762971063630582	3.5166666666666666
2024-01-31 03:10:25	ETCUSDT	ETC/FDUSD	1706670660000	1706693340000	SL	25.595791499999997	25.194396500000003	-6.272828093633967	0.396863585953183	-0.040123783630601935	-6.709815463217753	6.3
2024-01-31 03:10:25	FILUSDT	FIL/FDUSD	1706670660000	1706692080000	SL	5.137567499999999	5.055471	-6.3918576252282495	0.3968040711873859	-0.03992550949452247	-6.828587205910157	5.95
2024-01-31 03:10:25	FTMUSDT	FTM/FDUSD	1706670660000	1706683980000	SL	0.37128554999999996	0.3652173	-6.53755579768719	0.3967312221011564	0.0	-6.934287019788347	3.7
2024-01-31 03:10:25	LTCUSDT	LTC/FDUSD	1706670660000	1706689800000	TP	67.97397	69.375295	8.246244849315113	0.40412312242465753	-0.04012712513334148	7.801994601757113	5.316666666666666
2024-02-02 07:00:03	ATOMUSDT	ATOM/FDUSD	1706857260000	1707003780000	SL	9.181588499999998	9.0404775	-6.147563681382527	0.39692621815930873	-0.11348320739924253	-6.657973106941078	40.7
2024-02-02 07:00:03	BCHUSDT	BCH/FDUSD	1706857260000	1707005220000	TP	237.388635	242.448715	8.526237997872139	0.4042631189989361	0.09089944242697211	8.212874321300175	41.1
2024-02-02 07:00:03	CHZUSDT	CHZ/FDUSD	1706857260000	1706881860000	SL	0.101780865	0.10017988500000001	-6.291870284262127	0.39685406485786895	-0.04013721046682006	-6.728861559586817	6.833333333333333
2024-02-02 07:00:03	DOTUSDT	DOT/USDC	1706857260000	1706888460000	TP	6.837416999999999	6.976510000000001	8.137166418254244	0.40406858320912703	-0.040161365030098366	7.692936470015018	8.666666666666666
2024-02-02 07:00:03	DYDXUSDT	DYDX/FDUSD	1706857260000	1706873220000	TP	2.7043514999999996	2.7596195000000003	8.17467699742445	0.40408733849871226	-0.04000959194838394	7.730580066977353	4.433333333333334
2024-02-02 07:00:03	ETCUSDT	ETC/FDUSD	1706857260000	1706881560000	SL	24.8394135	24.450768500000002	-6.258521361625497	0.3968707393191873	-0.04007179960187064	-6.695463900546554	6.75
2024-02-02 07:00:03	FILUSDT	FIL/FDUSD	1706857260000	1706881080000	SL	5.0465219999999995	4.969514000000001	-6.103847362599304	0.3969480763187003	-0.040019641249953934	-6.54081508016796	6.616666666666666
2024-02-02 07:00:03	FTMUSDT	FTM/FDUSD	1706857260000	1706973060000	SL	0.36007995	0.35372305000000004	-7.061653946574858	0.3964691730267126	-0.16093092659005315	-7.619054046191624	32.166666666666664
2024-02-02 07:00:03	GALAUSDT	GALA/FDUSD	1706857260000	1706881860000	SL	0.02203101	0.021669160000000003	-6.569830434464818	0.3967150847827675	-0.04023419716118326	-7.006779716408769	6.833333333333333
2024-02-02 07:00:03	LTCUSDT	LTC/FDUSD	1706857260000	1707085620000	SL	67.87392	66.82657	-6.172326572562743	0.3969138367137186	-0.3213723327015737	-6.8906127419780345	63.43333333333333
2024-02-22 03:10:18	ADAUSDT	ADA/USDC	1708571460000	1708583700000	TP	0.5841919499999999	0.5965016000000001	8.428496832248491	0.40421424841612424	0.0	8.024282583832369	3.4
2024-02-22 03:10:18	AVAXUSDT	AVAX/USDC	1708571460000	1708587660000	TP	36.982482	37.723129	8.010787377656294	0.40400539368882815	0.0	7.606781983967467	4.5
2024-02-22 03:10:18	MATICUSDT	MATIC/USDC	1708571460000	1708580880000	TP	0.9290643	0.9477259000000001	8.034578446292755	0.4040172892231463	0.0	7.63056115706961	2.6166666666666667
2024-02-22 03:10:18	XRPUSDT	XRP/USDC	1708571460000	1708678080000	SL	0.5424711	0.5339329	-6.295782392831574	0.3968521088035842	-0.4146222572962873	-7.107256758931446	29.616666666666667
2024-02-28 02:25:34	DOTUSDT	DOT/FDUSD	1709087160000	1709116500000	TP	8.335165499999999	8.509743	8.377878039734263	0.4041889390198672	-0.1441713712823099	7.8295177294320855	8.15
2024-02-28 02:25:34	NEARUSDT	NEAR/FDUSD	1709087160000	1709090220000	SL	3.9699839999999997	3.9090445000000003	-6.140024745691618	0.3969299876271542	0.0	-6.536954733318772	0.85
2024-03-27 03:10:04	DOGEUSDT	DOGE/USDC	1711509060000	1711511700000	SL	0.18657324	0.183438235	-6.721231833675604	0.3966393840831622	0.0	-7.117871217758766	0.7333333333333333
