database,template_id,dimension,key,closed,open,wins,losses,net_pnl,net_pf,mean_margin_return_pct,median_holding_h,p90_holding_h
go_binance,59,symbol,ACTUSDT,2,0,1,1,3.00153782,2.50707059,7.50384455,6.12277778,9.38011111
go_binance,59,symbol,ONUSDT,3,0,1,2,0.74703940,1.17769473,1.24506567,2.81222222,8.71266667
go_binance,59,symbol,FETUSDT,2,0,0,2,-4.18482810,0.00000000,-10.46207025,2.54027778,4.30072222
go_binance,59,symbol,HEIUSDT,2,0,0,2,-3.96399072,0.00000000,-9.90997681,0.93208333,1.42152778
go_binance,59,symbol,ZKUSDT,4,0,0,4,-7.80023213,0.00000000,-9.75029016,2.18361111,2.57844444
go_binance,59,symbol,KASUSDT,5,0,1,4,-4.85535025,0.37090743,-4.85535025,1.44444444,3.33122222
go_binance,59,symbol,LSKUSDT,4,0,0,4,-6.97789771,0.00000000,-8.72237214,0.44041667,0.60797222
go_binance,59,symbol,NEOUSDT,3,1,1,2,0.02117414,1.00667725,0.03529023,15.20833333,15.27633333
go_binance,59,symbol,SNXUSDT,1,0,0,1,-1.87224000,0.00000000,-9.36120000,0.59916667,0.59916667
go_binance,59,symbol,ENJUSDT,4,0,2,2,2.90415999,1.73208046,3.63019999,6.31888889,9.89175000
go_binance,59,symbol,GRTUSDT,6,0,2,4,-3.35556777,0.58661496,-2.79630647,1.38444444,11.42486111
go_binance,59,symbol,MANAUSDT,4,0,2,2,-0.52633187,0.86444297,-0.65791483,4.91625000,12.11291667
go_binance,59,symbol,GALAUSDT,3,0,0,3,-5.79540730,0.00000000,-9.65901217,0.10333333,4.19688889
go_binance,59,symbol,APEUSDT,1,0,1,0,1.99070000,—,9.95350000,18.36361111,18.36361111
go_binance,59,symbol,ACHUSDT,3,0,3,0,4.48894894,—,7.48158157,1.96138889,16.07983333
go_binance,59,symbol,STEEMUSDT,2,1,1,1,1.38107767,1.71207471,3.45269419,7.69763889,13.69975000
go_binance,59,symbol,JTOUSDT,4,0,3,1,1.73419545,1.92441122,2.16774431,1.07708333,1.99355556
go_binance,59,symbol,RAREUSDT,4,0,1,3,-3.19955095,0.38951412,-3.99943869,7.01486111,11.13916667
go_binance,59,symbol,HMSTRUSDT,3,0,1,2,-2.70076554,0.37782667,-4.50127591,6.69777778,15.94844444
go_binance,59,symbol,PNUTUSDT,1,0,1,0,6.19144000,—,30.95720000,7.65055556,7.65055556
go_binance,59,symbol,MOVEUSDT,5,0,2,3,2.93799873,1.58447259,2.93799873,1.26138889,6.25666667
go_binance,59,symbol,UBUSDT,3,0,1,2,-2.16388093,0.31490038,-3.60646822,0.81777778,3.35933333
go_binance,59,symbol,MUUSDT,3,0,0,3,-6.21465685,0.00000000,-10.35776142,2.09000000,12.79444444
go_binance,59,symbol,ADAUSDT,4,0,1,3,-3.40876775,0.42266497,-4.26095969,6.32180556,16.48663889
