symbol,event_time,year,premium,z,side,r1,r4,r12
BTCUSDT,1704072000000,2024,0.00125684,3.2889060277404023,SHORT,0.0006450228503080365,0.00883891271010627,-0.002482384550045873
BTCUSDT,1704139500000,2024,0.00131601,4.124100005162157,SHORT,0.0016790003143695078,-0.03208533130660697,-0.04608608310209796
BTCUSDT,1704140700000,2024,0.00122562,3.1257900982071,SHORT,0.0016790003143695078,-0.03208533130660697,-0.04608608310209796
BTCUSDT,1704152400000,2024,0.0016556,4.054495893679942,SHORT,-0.02124000970867571,-0.026872658563421425,-0.028012099392891152
BTCUSDT,1704153900000,2024,0.0015015,3.0887812218075927,SHORT,0.0056245015431994755,-0.0007080319883712254,-0.003874757981481463
BTCUSDT,1704157200000,2024,0.00262277,6.935884663525898,SHORT,0.0056245015431994755,-0.0007080319883712254,-0.003874757981481463
BTCUSDT,1704195900000,2024,0.00216903,3.523173510247362,SHORT,0.0028995450837286585,0.005993283784336595,0.01120867387612715
BTCUSDT,1704283800000,2024,-0.00719263,-36.98623521500019,LONG,-0.005861174598080295,0.004974079365667298,0.0020448377324703165
BTCUSDT,1704385200000,2024,-0.00058508,-4.427880540165366,LONG,0.0015882373679983236,0.0046234373208225,-0.0074032508639465195
BTCUSDT,1704387000000,2024,-0.00046158,-3.576432422268808,LONG,0.0015882373679983236,0.0046234373208225,-0.0074032508639465195
BTCUSDT,1704391800000,2024,-0.00038271,-3.0681981881469276,LONG,-0.0022318647600286907,0.005964261641548282,-0.00455766175572886
BTCUSDT,1704419700000,2024,0.00087637,3.8963605823482146,SHORT,-0.0030593981729047093,-0.006221742777260178,-0.01385449643225766
BTCUSDT,1704469500000,2024,-0.00064695,-3.435349340977408,LONG,-0.006326427215171294,0.002385926240441213,0.009853558698441326
BTCUSDT,1704474300000,2024,-0.0005933,-3.1404014988975124,LONG,1.8346940648174807e-05,0.007598865897234707,0.002114560436022058
BTCUSDT,1704576900000,2024,-0.00042433,-3.2883019746799156,LONG,-0.00035328803256672085,0.0018282643757714437,0.0009498396578556993
BTCUSDT,1704588900000,2024,0.00041135,4.216113864671423,SHORT,0.0035762696678123744,0.0028213501491249787,0.0008662132060891749
BTCUSDT,1704593100000,2024,-0.0004577,-3.153661270356769,LONG,0.0002162410709399941,0.001994472086427701,0.01080697511434608
BTCUSDT,1704638700000,2024,0.00023579,3.2541957572136564,SHORT,0.008367303453044652,0.00716443912953323,0.023934651970060228
BTCUSDT,1704666000000,2024,-0.00070062,-4.219172904636062,LONG,0.0014948469312492467,-0.011386941160570346,0.005238096925591373
BTCUSDT,1704669000000,2024,-0.00063729,-3.454092723058291,LONG,-0.00674218643558705,-0.00949459653053185,0.016268380259258607
BTCUSDT,1704669900000,2024,-0.00074011,-4.1340459854977984,LONG,-0.00674218643558705,-0.00949459653053185,0.016268380259258607
BTCUSDT,1704717000000,2024,-0.00096301,-4.7194560477259415,LONG,-0.004154693663797114,-0.0036360809078773066,0.034420673984972
BTCUSDT,1704737100000,2024,0.00077294,5.525576436505318,SHORT,-0.0007831737236922957,-0.0008789001758559249,0.003741296368212251
BTCUSDT,1704739500000,2024,0.00236551,13.164691238610063,SHORT,-0.0007831737236922957,-0.0008789001758559249,0.003741296368212251
BTCUSDT,1704744900000,2024,0.00074976,3.1794848302911696,SHORT,-0.006201335762411069,0.0024326461393975028,0.005225602501875849
BTCUSDT,1704760800000,2024,0.00097674,3.034792574570366,SHORT,0.0023033084304869313,-0.0026548678694087355,0.010915723444215717
BTCUSDT,1704765000000,2024,0.00126368,3.784821388477501,SHORT,-0.004552156742895221,-0.003138387336779873,-0.005575410758301039
BTCUSDT,1704834900000,2024,0.00210076,9.151488410785749,SHORT,-0.017461578137945036,-0.010816948934095256,-0.004758725794923639
BTCUSDT,1704836400000,2024,0.00107368,3.7928448052124497,SHORT,-0.017461578137945036,-0.010816948934095256,-0.004758725794923639
BTCUSDT,1704877200000,2024,-0.00082954,-3.85294835792139,LONG,0.007442185144056593,-0.014423492554209029,0.01744522085052464
BTCUSDT,1704909900000,2024,0.00105874,3.3942082794991446,SHORT,0.0009737423533685057,-0.007685636697363384,0.013941638994363605
BTCUSDT,1704919800000,2024,-0.00150649,-6.736903733027356,LONG,-0.003600993403169693,0.011857667560136356,0.0031645801525749394
BTCUSDT,1704921000000,2024,-0.00130387,-5.509842182835043,LONG,0.020277418745750626,0.01178577153091426,0.00544619928723876
BTCUSDT,1704930000000,2024,-0.00091225,-4.328681042125709,LONG,0.00027855451813413854,-0.0034476352610903933,0.008652428048061708
BTCUSDT,1704988800000,2024,0.00103988,3.1997511578173192,SHORT,0.01670234430322389,0.002459583880855216,0.017593309755762867
BTCUSDT,1704990000000,2024,0.00112236,3.389389774235161,SHORT,-0.010357143989640133,-0.00424615282305054,0.0016869862607095817
BTCUSDT,1704992700000,2024,0.0012008,3.2996150164736107,SHORT,-0.0021560062981838546,0.007788640047203962,0.006827157731321107
BTCUSDT,1705074600000,2024,0.00129923,4.1630733963948225,SHORT,0.018919234893513104,0.022675605571098857,0.042924058998887314
BTCUSDT,1705076700000,2024,0.00120854,3.616647968615407,SHORT,-0.004004686623351151,-0.0005861611194987625,0.01871451832061508
BTCUSDT,1705077900000,2024,0.00123183,3.684764657556531,SHORT,-0.004004686623351151,-0.0005861611194987625,0.01871451832061508
BTCUSDT,1705078800000,2024,0.0014377,4.289460898054114,SHORT,-0.004004686623351151,-0.0005861611194987625,0.01871451832061508
BTCUSDT,1705080600000,2024,0.00136378,3.9100854875208526,SHORT,0.007418958238876857,0.008428428720558746,0.016633868326904007
BTCUSDT,1705097100000,2024,-0.00237603,-7.682871339357925,LONG,0.006353559426376481,0.0006254232391058705,0.00451494521379232
BTCUSDT,1705235700000,2024,-0.00027831,-3.100898725197866,LONG,0.003128847938538643,0.004030658961902339,-0.011125662248288249
BTCUSDT,1705256400000,2024,0.00046692,3.2090073867373956,SHORT,0.005485818332501211,0.014571685062951657,0.005783524938981237
BTCUSDT,1705267200000,2024,-0.00065447,-6.607628868568522,LONG,-0.006556055633249263,-0.006532404012165972,0.004730557429426281
BTCUSDT,1705289100000,2024,0.00062655,3.7420870944634466,SHORT,-0.0005917521201011083,-0.0032901130564474425,0.006932138565278706
BTCUSDT,1705295100000,2024,0.00105762,6.817536397628067,SHORT,0.0021826859907990164,-0.00031576694790599733,0.0009806825071783359
BTCUSDT,1705321500000,2024,0.00083747,4.889304894078014,SHORT,-0.0043658848048163685,0.003406302482145784,0.001533864936005561
BTCUSDT,1705343400000,2024,0.00065122,3.3802701718145176,SHORT,0.0006046146231168303,0.008899055927327803,0.006324647948364628
BTCUSDT,1705416900000,2024,0.00045843,3.0858304504780594,SHORT,-0.012835276811583893,-0.00720348376594945,-0.00688489355978699
BTCUSDT,1705418400000,2024,0.00047797,3.15002023810541,SHORT,2.7745408136712828e-05,0.001995006204652784,0.009499090511906958
BTCUSDT,1705495200000,2024,0.00043519,3.498816222913892,SHORT,0.004093893459071186,0.010023139053203262,0.0026703722909335054
BTCUSDT,1705509000000,2024,0.00034423,3.2194852377356793,SHORT,-0.0003988958427285592,-0.00854490069412581,-0.0073926055791091235
BTCUSDT,1705525200000,2024,0.00039561,3.2414542784498006,SHORT,0.0008523812158580381,0.0011944746435026043,-0.0006411486608092279
BTCUSDT,1705535400000,2024,0.00106147,8.43445637154876,SHORT,0.0026259634255144377,0.004434441243837564,0.0057030297570502585
BTCUSDT,1705607700000,2024,-0.00035225,-3.5868423184583036,LONG,-0.004075176415757883,0.0075033174332561955,0.006508221406703646
BTCUSDT,1705610700000,2024,-0.00032324,-3.2011131051386075,LONG,0.006670920697943859,0.01070695679035931,0.010668202921022772
BTCUSDT,1705611900000,2024,0.00069905,4.594030641297322,SHORT,-0.005471293069436842,-0.0035369651776483413,-0.0066846918463521745
BTCUSDT,1705617000000,2024,-0.00043471,-3.329410082293517,LONG,-0.0005636903723128758,-0.005675576848972525,0.0032983487467118278
BTCUSDT,1705635600000,2024,-0.00054987,-3.4190953885559963,LONG,0.0012099921986853603,0.005640605832683642,-0.0037292530540938957
BTCUSDT,1705674300000,2024,-0.00056561,-3.1236517915738076,LONG,-0.0018688055469128812,0.020224379627122674,0.015835490284933616
BTCUSDT,1705675800000,2024,0.00051958,3.21960195307081,SHORT,0.0018688055469128812,-0.020224379627122674,-0.015835490284933616
BTCUSDT,1705682100000,2024,0.00058851,3.4126655063342137,SHORT,-0.02034420183791126,-0.029912936935914035,-0.029230595613856287
